comment,emotion
I love this song so much ❤️,joy
This video made me laugh 😂😂,joy
I'm feeling sad today,sadness
This game scared me actually 😨,fear
Bro this is disgusting,anger
I respect your work,love
What nonsense is this?,anger
I'm confused after watching this,neutral
This made my day 😊,joy
I miss those old days,sadness
I'm proud of you,love
This is the stupidest thing ever,anger
I’m worried about the future,fear
Wow this is amazing,joy
"Just okay, nothing special",neutral
My heart is broken 💔,sadness
You handled this beautifully,love
This is so funny 😂,joy
I don’t care honestly,neutral
This is terrifying!,fear
Stop shouting man,anger
You are awesome bro,love
This brings tears to my eyes,sadness
I can’t stop laughing,joy
You ruined everything,anger
Nothing to say…,neutral
I deeply appreciate this,love
It made me nervous,fear
Feeling emotionally low,sadness
